"Geographic name","Incompletely enumerated Indian reserves and Indian settlements","Population","Total private dwellings","Private dwellings occupied by usual residents"
N3B,,10551,3715,3584
N3C,,23546,8143,8010
N3E,,177,51,51
N3H,,21524,8698,8384
N3L,,13763,5219,5095
N3P,,9164,3149,3104
N3R,,34657,13905,13602
N3S,,23768,10350,9873
N3T,,27672,11364,10786
N3V,,1684,553,547
N3W,,13617,4723,4617
N3Y,,22013,9212,8794
N4B,,7506,3116,3038
N4G,,18333,7801,7617
N4K,,29097,12695,12144
N4L,,7647,3738,3199
N4N,,9186,3983,3811
N4S,,32886,13715,13245
N4T,,6957,2805,2632
N4V,,1647,598,584
N4W,,9943,3918,3729
N4X,,9271,3628,3487
N4Z,,2413,891,870
N5A,,30701,13391,12940
N5C,,13927,5439,5327
N5H,,14227,5057,4817
N5L,,3159,1642,1377
N5P,,18737,7639,7369
N5R,,25568,10525,10247
N5V,,32063,12729,11783
N5W,,23683,11120,10529
N5X,,24508,9638,9050
N5Y,,32382,15430,14056
N5Z,,25182,10872,10406
N6A,,10367,7756,5405
N6B,,10526,7062,5984
N6C,,32069,14860,14313
N6E,,28718,10242,9993
N6G,,31613,12999,11633
N6H,,33776,16701,15343
N6J,,27399,12450,11989
N6K,,30617,12173,11744
N6L,,342,128,117
N6M,,4100,1426,1400
N6N,,790,299,290
N6P,,6186,2218,2139
N7A,,11626,6011,4895
N7G,,17102,6497,6338
N7L,,26259,11824,11134
N7M,,25880,10945,10490
N7S,,27373,10639,10361
N7T,,26760,13388,12478
N7V,,12293,5708,5460
N7W,,1490,778,751
N7X,,1172,469,445
N8A,,14563,6194,5879
N8H,,26748,9743,9148
N8M,,10960,4313,4169
N8N,,24972,8997,8738
N8P,,9279,3525,3407
N8R,,12355,4148,4052
N8S,,22849,10675,10146
N8T,,18247,7839,7518
N8V,,39,16,16
N8W,,24813,9852,9573
N8X,,16121,7712,7062
N8Y,,19727,9719,8981
N9A,,26129,14122,12450
N9B,,16183,7638,6687
N9C,,12481,6150,5191
N9E,,20860,7576,7457
N9G,,17506,6143,6009
N9H,,9365,3202,3131
N9J,,17737,6148,6008
N9K,,2108,640,624
N9V,,20028,7654,7328
N9Y,,13961,5533,5209
P0A,,15737,15369,6864
P0B,,8962,8286,3541
P0C,,3997,6965,1696
P0E,,3062,4026,1235
P0G,,3365,5308,1450
P0H,,30081,16686,11966
P0J,,21490,9964,8857
P0K,,11633,6040,5010
P0L,,23150,10703,8877
P0M,,48408,23158,19305
P0N,,10158,4553,4032
P0P,,18615,11949,7663
P0R,,12462,8445,5241
P0S,,10171,6508,4099
P0T,,36296,19840,14079
P0V,,21913,8496,6807
P0W,,7136,3579,2639
P0X,,8058,6709,2891
P0Y,,29,43,14
P1A,,17287,7230,6937
P1B,,34718,16187,15140
P1C,,2622,849,820
P1H,,15235,8939,6134
P1L,,16186,9034,6419
P1P,,9356,6450,3763
P2A,,12171,8474,5036
P2B,,8903,3938,3732
P2N,,7615,4117,3510
P3A,,24961,10603,9932
P3B,,15028,7383,6881
P3C,,17072,9752,8696
P3E,,26922,12838,11790
P3G,,3724,1622,1385
P3L,,7556,2838,2746
P3N,,7411,2654,2614
P3P,,14422,5151,5025
P3Y,,6916,2689,2612
P4N,,27065,12128,11396
P4P,,2876,1048,1016
P4R,,3265,1107,1094
P5A,,11559,6065,5650
P5E,,5515,2465,2291
P5N,,8782,4243,3850
P6A,,36094,16372,14912
P6B,,23271,10797,10372
P6C,,19648,8382,8059
P7A,,27610,12585,11947
P7B,,27375,14382,12006
P7C,,26608,11792,10895
P7E,,21815,10362,9821
P7G,,8474,3043,2891
P7J,,3860,1362,1302
P7K,,4211,1579,1555
P8N,,11395,5106,4527
P8T,,4797,1919,1776
P9A,,10749,5239,4359
P9N,,14184,7146,5750
R0A,,33918,12200,11136
R0B,,40753,12170,10216
R0C,,50899,26545,19105
R0E,,41270,26779,15732
R0G,,40281,15091,14277
R0H,,15371,4868,4515
R0J,,26274,14287,10955
R0K,,26387,11781,10082
R0L,,28498,13402,11366
R0M,,19918,9036,7990
R1A,,19957,7644,7436
R1B,,81,53,43
R1N,,16541,6924,6431
R2C,,31157,11857,11723
R2E,,8750,2966,2923
R2G,,32939,14240,14061
R2H,,15329,7773,7496
R2J,,24789,9813,9651
R2K,,32498,13559,13330
R2L,,14458,6500,6241
R2M,,37302,16857,16546
R2N,,24493,8889,8780
R2P,,24697,8305,8151
R2R,,18231,5727,5581
R2V,,30423,12851,12590
R2W,,27743,11935,10996
